ProtA	ProtB	ELMA	ELMB	label
O00268	Q16514	18	212	nob
P41182	Q9Y618	662	156	nob
P67775	Q13362	100	50	ob
P0CG48	Q96G74	124	90	nob
P38054	P77239	83	155	ob
P05747	Q02753	18	0	ob
P08238	Q02790	78	148	nob
P26715	P29350	106	46	nob
P36383	Q07157	406	69	nob
Q13620	Q16531	219	186	ob
Q14691	Q9BRX5	46	32	ob
P09038	P11362	185	48	nob
P55055	Q15788	351	82	nob
P08253	P16035	28	103	ob
P04993	P07648	198	112	ob
Q06696	Q12483	33	114	ob
P52298	Q09161	138	13	nob
P01912	P04233	32	43	nob
Q13042	Q8NHZ8	9	122	nob
P62508	Q15788	351	90	nob
P01892	P33241	68	63	nob
P55957	Q92843	18	27	nob
O43617	O75865	21	31	ob
P52891	Q04491	53	147	ob
P02407	P32905	47	18	ob
P84022	Q96PU5	241	77	nob
P0AFX7	P0AGB6	27	26	nob
P25942	Q9Y4K3	76	50	nob
P61586	Q07960	86	43	nob
P55211	Q13490	130	74	nob
Q16531	Q5TAQ9	112	219	nob
P06730	Q13542	14	28	nob
P06730	Q13541	23	28	nob
P05737	P0CX23	25	38	ob
P46674	Q08231	86	323	ob
P05738	P0CH08	19	22	ob
Q96FZ7	Q9BRG1	25	30	nob
P28482	P35236	61	67	nob
P05756	P35997	6	24	ob
P26368	Q01081	42	82	nob
P52564	Q16539	83	57	nob
P04037	P10507	94	16	nob
P0CG47	Q9H3M9	69	24	nob
P06701	P11938	189	223	nob
P0A786	P0A7F3	20	52	nob
P38398	Q9BX63	251	449	nob
P0A7S3	P0AG63	2	14	ob
P10507	P17505	57	94	nob
P46673	P53011	65	152	ob
O60573	Q13541	23	37	nob
P0A7U3	P0AG59	4	2	ob
Q13285	Q15596	319	68	nob
P29366	Q03497	272	121	nob
P14598	P19878	95	96	nob
P00734	P07204	81	112	nob
P49841	Q92837	59	100	nob
P04229	Q16655	20	43	nob
P52948	P78406	52	420	nob
P63208	Q9Y297	103	29	ob
P31751	P49841	100	93	nob
P55957	Q07820	69	27	nob
P10826	Q15788	351	103	nob
P37231	Q15788	351	86	nob
P62158	Q13557	103	13	ob
P55210	P98170	78	45	nob
P11488	Q13432	35	65	nob
Q5RKV6	Q9Y3B2	26	30	ob
P10147	P14735	174	8	nob
P46655	P46672	55	129	ob
P49137	Q16539	83	85	nob
P30622	P68363	76	292	nob
P54198	Q9Y294	28	255	nob
P08138	P62158	13	79	nob
P61964	Q03164	1210	59	nob
P32570	Q99278	9	9	ob
P20248	Q01094	109	72	nob
P0CX55	Q3E792	9	11	ob
P62158	Q08209	95	13	nob
Q07812	Q07820	69	22	nob
Q14141	Q15019	55	65	ob
P0A6P9	P21513	230	62	nob
Q07157	Q9Y624	64	406	nob
Q07812	Q07817	31	22	nob
P05106	P79483	41	146	nob
P0CX49	P10664	59	26	ob
P35222	Q9NQB0	146	111	nob
P60953	Q07912	237	42	nob
P36149	Q03784	27	27	ob
P00533	P01133	208	234	nob
P12004	Q15054	125	35	nob
P00533	P01135	12	234	nob
P25054	Q07666	82	825	nob
P38630	P40339	45	172	ob
P10600	P36897	83	78	ob
P01892	P78358	27	63	nob
P13804	P38117	31	53	ob
P46674	Q6WNK7	7	323	ob
P22804	P40482	168	23	nob
P0A836	P0AGE9	36	39	ob
Q13191	Q9Y5K6	158	232	nob
O95405	P84022	77	292	nob
Q9NZI2	Q9UK17	139	38	ob
P01123	Q03784	27	31	ob
P39079	P40413	76	107	ob
P00128	P00163	56	9	ob
P07910	P30479	68	53	nob
P63165	Q9UER7	195	12	nob
Q01968	Q8N4B1	46	165	nob
P05759	P48589	7	31	ob
P0A7N4	P0AG44	12	0	ob
P04234	P07766	28	22	nob
P0A7W7	P0AG63	2	10	ob
P38144	P43596	159	261	ob
P07357	P07358	141	104	ob
P26449	P47074	114	52	nob
P12612	P42943	62	89	ob
P25604	P40343	144	61	nob
Q16531	Q5T6F0	71	219	nob
O75376	P20393	143	663	nob
P01892	P04626	246	63	nob
P61964	Q9UMN6	728	59	nob
P01892	P02771	86	63	nob
P02406	Q12690	22	14	ob
P10153	P13489	59	27	nob
P01241	P10912	126	37	nob
P0A734	P0AEZ3	35	8	nob
O15392	Q5FBB7	157	12	nob
P29353	P62993	28	94	nob
P11940	Q71RC2	186	107	nob
P12004	P38936	47	35	nob
P20433	P34087	27	32	ob
P25443	P32905	47	41	ob
P52272	Q92973	141	89	nob
P11940	Q9HCJ0	365	107	nob
Q13114	Q92844	89	105	nob
P83916	Q5FBB7	157	22	nob
P22059	Q9P0L0	35	141	nob
P10275	Q13772	117	194	nob
P49687	Q04491	53	274	ob
P0AAJ3	P24183	169	33	ob
P62805	Q9NQR1	87	15	nob
P04819	P15873	37	154	nob
O15164	P68431	14	233	nob
P39078	P47079	84	102	ob
P23638	P25451	25	39	ob
P05055	P21513	230	107	nob
O14893	Q16637	64	59	nob
P32499	Q02821	87	181	nob
P00533	P22681	235	234	nob
P01903	P04229	43	43	ob
P39077	P47079	84	76	ob
O14646	P68431	14	394	nob
P03372	Q15596	319	92	nob
P06710	P28631	49	125	ob
P04637	Q00987	112	83	nob
Q07869	Q15788	351	65	nob
P32585	P38304	40	74	nob
Q9NTG7	Q9NUB1	120	74	nob
P62805	Q16576	66	15	nob
P08238	P31948	97	148	nob
P0CX55	P39015	50	11	ob
P02916	P68183	33	95	ob
P19793	Q9Y618	662	89	nob
P0CX23	P36105	26	25	ob
Q9Y230	Q9Y265	69	88	ob
O60494	P27352	78	792	ob
Q16548	Q16611	20	18	nob
P02452	P02751	534	232	nob
P36941	Q13114	105	83	nob
O00499	P01106	130	125	nob
P20226	P52657	9	52	ob
P05556	P08648	200	147	ob
P02829	P38825	131	158	nob
Q16665	Q9GZT9	54	196	nob
P19429	P63316	14	38	ob
P03372	Q8WTS6	63	92	nob
Q5TBB1	Q8TDP1	16	55	ob
P05748	P17076	38	41	ob
P18206	Q9Y490	481	211	nob
P62877	Q13616	143	12	ob
P13498	P14598	96	28	nob
Q04206	Q8TBK2	74	111	nob
P30464	P51965	28	67	nob
O75533	Q96I25	75	317	nob
P08709	P13726	66	80	ob
P00968	P0A6F1	55	184	ob
P56524	P61981	47	200	nob
P05412	P15336	127	62	ob
P38862	P40344	53	115	nob
P02686	Q30154	41	66	nob
P20248	P46527	41	72	nob
P53779	Q9UQF2	169	116	nob
P30443	P43355	60	65	nob
P28482	Q9BUB5	81	67	nob
P43487	P62826	35	29	ob
P04271	P52907	40	0	nob
P68431	Q96T88	160	14	nob
P46100	P84243	14	588	nob
P21333	Q8WUP2	62	586	nob
P01112	P20936	214	24	nob
P00734	P12259	545	112	nob
P16370	P38902	7	38	ob
P0C0W1	P25443	41	15	ob
P01112	Q07889	318	24	nob
P07992	P23025	38	51	nob
Q96AY2	Q96NY9	111	102	ob
O94829	P63279	19	158	nob
P60953	Q9NQU5	154	42	nob
P22681	Q9C004	44	235	nob
P05386	P05387	8	4	ob
P01903	P60174	35	43	nob
P25791	Q86U70	104	23	nob
P48415	Q04491	53	516	ob
Q15554	Q9H816	133	108	nob
P01834	P18465	65	7	nob
P11142	P25685	63	109	nob
O95630	Q9Y3E7	24	62	nob
O15169	P25054	825	184	nob
P23639	P25043	39	51	ob
P01031	P13671	192	360	ob
P29074	Q12879	279	201	nob
O60880	Q13291	67	18	nob
P35269	Q9Y5B0	173	163	nob
P07766	P43405	102	28	nob
P36897	P37173	77	83	ob
O14907	P48050	77	14	nob
P0A7L3	P0AG48	9	13	ob
P52565	P61586	43	28	nob
Q16531	Q96JK2	262	219	nob
P0A855	P0A912	21	66	nob
Q96FZ7	Q9UN37	77	30	nob
Q16531	Q58WW2	218	219	nob
P02753	P02766	30	25	ob
P68431	Q03164	1210	14	nob
O75340	Q8WUM4	144	27	nob
P11474	Q9UBK2	224	64	nob
O43745	P19634	151	21	nob
Q03067	Q6WNK7	7	4	nob
P32909	Q12186	105	188	nob
P08191	P31697	54	64	ob
P04632	P17655	123	42	ob
P62158	Q05586	179	13	nob
O00213	P05067	121	142	nob
Q15797	Q9HCE7	137	113	nob
P05067	P08253	103	121	nob
O60341	O95863	41	175	nob
O43521	Q16548	18	42	nob
P0CX84	Q12690	22	20	ob
Q15788	Q96RI1	94	351	nob
P01160	P14735	174	26	nob
Q15369	Q96DX5	49	12	ob
P15705	P22202	119	83	nob
P02293	P40019	14	14	nob
P06213	P35568	362	322	nob
P13393	P32773	49	31	ob
P32379	P40303	47	43	ob
P11831	P28324	124	146	ob
P49407	P63010	170	69	nob
P32379	P40302	31	43	ob
P0AB98	P68699	4	32	ob
P52292	Q14974	122	89	nob
P40482	Q01590	52	168	nob
P0AC44	P69054	19	9	ob
O60673	Q9UI95	13	820	nob
P41182	Q6W2J9	459	156	nob
O15234	P38919	84	156	nob
P01215	P01233	26	17	nob
P06400	Q01094	109	233	nob
P63098	Q08209	95	17	ob
Q07817	Q14457	80	31	nob
O43566	P63096	58	142	nob
P10412	Q13185	24	48	nob
O60671	O60921	40	43	ob
P46937	Q15797	113	103	nob
P12612	P40413	76	89	ob
P01730	P04229	43	101	ob
P19524	P53141	14	337	nob
P03951	P05067	121	126	nob
P16104	Q6ZW49	204	19	nob
P19634	Q99653	18	151	nob
Q8WUW1	Q92558	145	6	ob
Q15554	Q9BSI4	80	108	nob
O14810	P63027	16	8	ob
Q15631	Q99598	58	32	ob
Q6NXT2	Q9UPP1	262	15	nob
P0A8Q0	P0A8Q3	5	8	ob
P39081	Q08685	85	122	nob
P08581	P22681	235	321	nob
O14508	Q15369	12	39	ob
P21333	P26010	133	586	nob
P05106	P06756	179	146	ob
P55201	Q71DI3	14	323	nob
P55072	Q9UKV5	137	148	nob
P20963	P43403	123	23	nob
P38629	P40348	63	50	ob
O43559	Q9UM73	310	113	nob
Q07869	Q9Y618	662	65	nob
P08518	P22139	4	270	nob
P39078	P42943	62	102	ob
P23638	P23639	51	39	ob
P68431	Q9UPN9	236	14	nob
P63165	Q9P0U3	166	12	nob
P25054	Q12959	207	825	nob
P23615	Q06505	103	288	nob
P11349	P11350	28	97	ob
P20248	P28749	264	72	nob
P25942	Q12933	58	50	nob
P63146	Q9NS91	124	32	nob
P0A7R5	P0AG59	4	5	ob
O00482	Q15596	319	118	nob
P28630	P28631	49	56	ob
P06609	P37028	33	33	ob
P62158	Q13698	357	13	nob
P00533	Q13191	232	234	nob
P54098	Q9UHN1	92	244	ob
P26785	P36105	26	42	ob
P07648	P08394	208	198	ob
P62314	P62316	12	7	ob
O43597	P22681	235	44	nob
P30622	Q9P270	184	292	nob
P38251	P38630	172	64	ob
P25942	Q13114	105	50	nob
O75164	P68431	14	213	nob
P16410	P33681	60	44	nob
P10997	P14735	174	13	nob
Q06339	Q12308	124	152	ob
O43157	Q9NZN5	375	455	nob
Q13620	Q86VP6	245	186	ob
P0A8S9	P0ABY7	20	11	ob
P04637	P31947	42	83	nob
P30130	P31697	54	167	ob
Q13616	Q86VP6	245	143	ob
P01892	Q92959	116	63	nob
O15392	Q9NR28	36	12	nob
P06213	Q14449	127	322	nob
Q7RTN6	Q9Y376	70	90	ob
P08069	P35568	362	262	nob
P28347	P46937	103	67	nob
Q07820	Q9H2K2	225	69	nob
P62993	Q9UQC2	207	28	nob
P11940	Q9BPZ3	9	107	nob
P49687	P52891	147	274	ob
P0A8Q6	P0ABT2	21	2	ob
P09619	P27986	162	235	nob
P04637	Q8WTS6	63	83	nob
P32585	P34162	30	74	ob
O43791	O75367	79	60	nob
P0CX51	P26783	37	18	ob
O75792	Q5TBB1	55	47	ob
P57740	Q8WUM0	247	183	ob
P52655	P52657	9	44	nob
P40337	Q16665	196	34	nob
P20333	Q12933	58	103	nob
P29468	P45976	58	111	nob
P16860	P17342	99	22	nob
P53843	P69771	13	56	nob
P0A903	P0AC02	39	52	ob
P32790	P43603	98	243	nob
P03950	P13489	59	15	nob
O15105	Q9HAU4	143	69	nob
P31749	P49841	100	94	nob
Q96QT6	Q9UBU8	76	253	nob
P25445	P62158	13	48	nob
P03989	P47974	121	67	nob
P18509	P41586	96	32	nob
P07143	P08525	4	56	ob
P01106	P61244	29	130	ob
P63010	Q5SW96	67	170	nob
P62877	Q93034	168	12	ob
Q8N488	Q99496	72	45	nob
O75164	Q16695	15	213	nob
P13051	P15927	28	46	nob
P00163	P08067	24	56	ob
P16144	Q15149	916	374	ob
O14686	P61964	59	1330	nob
P08067	P22289	0	24	ob
P02994	P32471	19	68	nob
P33322	Q6Q547	0	105	nob
P38077	Q12165	15	48	ob
P22216	P34217	142	155	nob
P01892	Q9NPA0	47	63	nob
P10275	Q15596	319	194	nob
P22307	P50542	103	69	ob
P0A8Q3	P0AC47	23	5	ob
O15151	P04637	83	112	nob
P43489	Q12933	58	41	nob
P00734	P01008	99	112	ob
P08189	P08190	23	28	nob
Q86YP4	Q9UBB5	68	150	ob
P02413	P0A7Q1	0	13	ob
P61956	Q6VMQ6	300	6	nob
Q15233	Q8WXF1	85	85	ob
P05317	P05319	6	44	ob
P05317	P05318	3	44	ob
P01308	P14735	174	6	nob
Q96B26	Q9NQT4	35	50	ob
P36404	Q9Y2Y0	20	18	ob
P40509	P53622	251	45	ob
P60763	Q13153	141	31	nob
O00255	Q03164	1210	115	nob
Q99549	Q9Y6K1	162	204	nob
P28702	Q15596	319	104	nob
P00729	P14306	34	89	ob
O14544	P10721	226	121	nob
P05318	P05319	6	3	ob
Q13133	Q15596	319	85	nob
P07359	P21333	586	160	nob
O15392	Q9NQS7	258	12	ob
P04050	P16370	38	467	ob
O75581	Q9BQB4	39	328	nob
P01903	Q05639	79	43	nob
P02309	P53686	52	18	nob
P36149	Q03337	61	27	ob
P46948	Q05636	37	41	ob
P33298	P50086	28	85	nob
P03989	P32241	104	67	nob
P25043	P25451	25	39	ob
P04629	P29353	94	133	nob
P36897	P62942	7	83	nob
P53290	Q00582	47	57	ob
O43617	Q86SZ2	17	31	ob
P17948	P49763	42	328	ob
O00560	P31431	29	41	nob
P23724	P25043	39	39	ob
Q13216	Q16531	219	77	ob
Q13133	Q15788	351	85	nob
Q02724	Q12306	7	172	nob
P53853	Q07794	104	40	ob
P08559	P11177	46	43	ob
O95931	Q99496	72	65	nob
O75928	P63165	12	148	nob
P38251	P40348	63	64	ob
Q86VN1	Q96H20	37	75	ob
P61830	Q08465	45	14	nob
P01892	P04229	43	63	nob
P48061	P61073	65	6	nob
P45983	Q9UQF2	169	106	nob
P09130	P10026	16	105	nob
P06609	P06611	43	33	ob
P0A7N4	P61175	12	0	ob
O96013	P60763	31	110	nob
P30307	P53350	128	102	nob
P09152	P11349	97	242	ob
P13382	P38121	169	330	ob
P04637	Q9NRG4	70	83	nob
P17612	P61925	3	67	nob
P61244	Q05195	39	29	ob
P00452	P68688	5	169	nob
P06865	P07686	118	116	ob
P61964	Q8NEZ4	1192	59	nob
P01583	Q99584	9	54	ob
P06730	Q04637	371	28	nob
P19793	Q15596	319	89	nob
P10276	Q15788	351	95	nob
P0A8Q0	P0AC47	23	8	ob
P11142	P31948	97	109	nob
P07256	P07257	78	86	ob
O95149	Q14974	122	69	nob
P00830	P07251	106	64	ob
P22681	P43405	102	235	nob
P10145	P25024	65	7	nob
Q99523	Q9UJY5	137	148	nob
A0A5B9	P01848	18	20	ob
P11717	Q9UJY5	137	575	nob
P22681	P43403	123	235	nob
P04049	P63104	41	143	nob
P06400	P20248	72	233	nob
O75533	Q9Y3B4	14	317	nob
P07998	P13489	59	27	nob
P35222	Q9Y297	103	111	nob
P06367	P39938	9	19	ob
P11717	Q9NZ52	178	575	nob
P0ACD8	P69739	50	55	ob
P21243	P23639	51	26	ob
P07834	P52286	34	201	ob
P01730	Q05397	195	101	nob
P00734	Q96RI0	68	112	nob
O00267	P63272	13	263	ob
O14965	Q9ULW0	181	81	nob
P38968	Q04491	53	291	ob
P22303	Q9Y215	85	121	ob
P58340	P62258	34	36	nob
P33307	Q02821	87	173	ob
P78314	Q9H2K2	225	132	nob
Q9H251	Q9Y6N9	100	748	nob
P62805	Q12830	727	15	nob
P08518	P20433	32	270	ob
Q07817	Q9Y5Z4	34	31	nob
P05750	P38011	44	39	ob
Q9BRT9	Q9Y248	31	39	ob
P28241	P28834	51	75	ob
P08518	P16370	38	270	ob
P00163	P08525	4	56	ob
Q15276	Q9NZ52	178	152	nob
Q16531	Q8WV16	94	219	nob
P02458	P13760	44	206	nob
P20366	P25103	89	21	nob
P04229	P60174	35	43	nob
P30153	P63151	98	92	ob
O43521	Q07812	22	42	nob
P62158	Q14524	468	13	nob
P04911	P38850	242	15	nob
P21549	P50542	103	72	ob
P03989	Q01668	443	67	nob
Q92547	Q9BX63	251	342	nob
P10275	Q9Y6Q9	305	194	nob
P22141	P30656	36	32	ob
P04456	P0CX84	20	13	ob
P25942	P29965	43	50	nob
P11274	P55196	440	302	nob
P63165	Q9UBT2	128	12	nob
O14776	P53350	128	243	nob
P13232	P16871	94	27	ob
P11940	Q9H074	90	107	nob
P01848	P01850	21	18	ob
P0A780	P0A7R5	5	13	nob
P04049	P31947	42	143	nob
P04050	P20435	29	467	nob
P04050	P20436	26	467	ob
P30479	Q13126	33	68	nob
P07766	Q8TE68	153	28	nob
P63208	Q969H0	149	29	ob
P04229	P04233	32	43	nob
P31947	Q9NPC2	72	42	nob
P05067	Q02410	163	121	nob
P25043	P30657	41	39	ob
P43146	Q9HD67	505	364	nob
P0A7V3	P0AG59	4	38	ob
O75376	P04150	182	663	nob
P30657	P38624	32	41	ob
Q9H2K2	Q9NWT6	55	225	nob
P18754	P62826	35	57	nob
P00751	P01024	332	168	ob
P01135	P14735	174	12	nob
O43521	Q07820	69	42	nob
P07149	P19097	359	420	ob
P20645	Q9NZ52	178	31	nob
P26449	P41695	225	52	nob
O43521	Q07817	31	42	nob
P49354	P49356	61	62	ob
P17342	P23582	8	99	nob
P01033	P08254	82	27	nob
P68431	Q14839	365	14	nob
O14746	P05534	65	276	nob
Q09472	Q16665	196	506	nob
Q7L576	Q92558	145	268	ob
P11532	Q14118	220	731	nob
P15873	Q12306	7	37	ob
P0C2H6	P14120	8	20	ob
P11362	Q8WU20	152	185	nob
P05106	P08514	172	146	ob
P07014	P0AC44	9	32	ob
O14980	O95149	69	186	ob
P23724	P30657	41	39	ob
P84243	Q96T88	160	14	nob
P20676	Q06142	145	281	nob
P13612	P26010	133	216	ob
P40477	Q02647	5	366	nob
P42771	Q00534	63	7	nob
P11802	P24385	35	50	ob
P24394	P35568	362	201	nob
P10591	P38825	131	113	nob
O60341	Q16695	15	175	nob
P55072	Q9Y263	148	148	nob
P18887	Q96T60	108	168	nob
O43157	P63000	41	455	ob
P11940	Q99700	338	107	nob
P04050	Q04307	10	467	nob
P05067	P14735	174	121	nob
O43683	Q8NG31	560	205	nob
P0A6F5	P0A6F9	5	60	ob
P22216	P32447	31	155	nob
P56817	Q9UJY5	137	94	nob
P37231	Q15596	319	86	nob
P0A6F3	P69783	26	71	nob
P67775	Q9UIC8	54	50	ob
P01892	Q86UW6	381	63	nob
O15392	Q53HL2	68	12	ob
P01100	P05412	62	91	ob
P01903	Q16655	20	43	nob
O95166	P27797	62	12	nob
Q14596	Q9H0R8	11	188	nob
P53112	P80667	68	47	nob
P30481	Q9Y5X3	81	65	nob
P04637	Q09472	506	83	nob
P23471	Q12860	198	602	ob
P16861	P16862	192	188	ob
P54274	Q9BSI4	80	95	nob
P06780	P33332	310	29	ob
P0CX23	Q02753	18	25	ob
P01892	P40967	150	63	nob
P04386	P04387	69	226	nob
P47068	Q12446	169	287	nob
P47822	Q08278	49	15	ob
P25298	P25299	40	164	nob
P39076	P39079	107	81	ob
P39076	P39077	76	81	ob
P02745	P02746	43	41	ob
P01892	P27797	62	63	nob
P24588	Q08209	95	83	nob
P04637	Q13625	248	83	nob
P26368	Q15637	113	82	nob
P10507	P11914	81	94	ob
P21242	P21243	26	38	ob
Q9BRX5	Q9Y248	31	46	ob
P63208	Q9UKT5	67	29	ob
Q03630	Q03784	27	24	ob
P22524	P60293	57	52	ob
P18545	P51160	157	4	nob
P45983	Q12968	284	106	nob
P03989	P47871	81	67	nob
Q03497	Q12163	30	272	nob
P02462	P08572	292	312	ob
P47142	Q06696	114	36	ob
P00734	P25116	93	112	nob
P20248	P24941	48	72	nob
P01892	P19544	108	63	nob
O00482	Q15466	37	118	nob
O13297	Q01159	79	111	ob
O75563	Q9Y2R2	201	57	nob
P16104	P17693	49	19	nob
P12004	Q5TBB1	55	35	nob
P38701	P41058	0	19	nob
P12956	P13010	122	120	ob
P00579	P0A8T7	288	110	ob
P01584	P14778	116	36	nob
Q7L576	Q9Y2A7	222	268	ob
P08575	P20963	23	316	nob
P0CX29	P0CX33	0	16	ob
Q16665	Q9NWT6	55	196	nob
Q9NSD9	Q9Y285	92	108	ob
P47142	Q12483	33	36	ob
P61964	Q9UPS6	526	59	nob
Q16531	Q8N5D0	126	219	nob
P13747	P17693	49	61	nob
P01857	P0CG05	13	57	ob
Q07817	Q16611	20	31	nob
P60484	Q6P0Q8	525	75	nob
O60341	Q9UKL0	95	175	ob
P00452	P69924	61	169	nob
O75792	Q8TDP1	16	47	ob
Q9GZY6	Q9ULZ2	49	49	nob
P38398	Q13085	487	449	nob
Q06330	Q92585	222	109	nob
P0C2H6	P87262	8	20	ob
P05108	P10109	20	79	nob
O14777	Q9BZD4	90	103	ob
P61024	Q13309	85	12	nob
P05107	P20702	254	129	ob
P25604	Q02767	40	61	nob
P15289	Q8NBK3	59	84	nob
P01160	P17342	99	26	nob
O14964	Q99816	66	162	nob
O00255	P17535	67	115	nob
P05744	Q02326	22	7	ob
P10321	P13747	61	64	nob
P15692	P17948	328	32	ob
P04637	P20248	72	83	nob
P04050	P08518	270	467	ob
P15303	P38968	291	143	nob
O75015	P01857	57	45	ob
O95405	Q15796	102	292	nob
P24941	P61024	12	48	nob
Q13564	Q8TBC4	80	79	ob
Q92673	Q9UJY5	137	437	nob
P04439	P60201	30	67	nob
P01892	Q16655	20	63	nob
P01892	Q8WVV4	119	63	nob
P61006	Q01968	165	30	ob
Q01094	Q14186	94	109	ob
P0A9A6	P77173	46	56	nob
P28908	Q12933	58	146	nob
P07276	P32776	114	232	nob
Q15543	Q15544	37	16	nob
O15047	P61964	59	483	nob
P49792	P62826	35	749	nob
P25451	P30656	36	25	ob
P12004	P39748	68	35	nob
