The "SUID","Annotation","Author","Complex Expansion","Complex Expansion ID","Confidence-Score-intact-miscore","Creation Date","Detection Method","Detection Method ID","Host Organism Taxonomy","Host Organism Taxonomy ID","interaction","Interaction Type","name","Negative","Primary Interaction Type","Publication DB","Publication ID","selected","shared interaction","shared name","Source Biological Role","Source Biological Role ID","Source Database","Source Experimental Role","Source Experimental Role ID","Source Participant Detection Method","Source Participant Detection Method ID","Target Biological Role","Target Biological Role ID","Target Experimental Role","Target Experimental Role ID","Target Participant Detection Method","Target Participant Detection Method ID","Update Date","Xref","Xref ID"
"23242","figure legend:4C|dataset:Diabetes - Interactions investigated in the context of Diabetes|full coverage:Only protein-protein interactions|curation depth:imex curation","Liu et al. (2011)",,,"0.4","2015/07/15","anti bait coimmunoprecipitation","MI:0006","bovine-baec|Bos taurus","9913|9913","EBI-10902567","physical association","O41515 (EBI-10902567) F1MWF1","false","physical association","pubmed|imex","23056421|IM-24455","false","EBI-10902567","O41515 (EBI-10902567) F1MWF1","unspecified role","MI:0499","psi-mi","prey","MI:0498","western blot","MI:0113","unspecified role","MI:0499","bait","MI:0496","western blot","MI:0113","2015/07/15",,
"23245","figure legend:supplemental 3A|dataset:Neurodegeneration - Publications depicting interactions involved in neurodegenerative diseases.|dataset:Huntington's - Publications describing interactions involved in Huntington's disease|dataset:Affinomics - Interactions curated for the Affinomics consortium.|full coverage:Only protein-protein interactions|curation depth:imex curation","Min et al. (2013)",,,"0.4","2015/07/27","proximity ligation assay","MI:0813","human-sh_sy5y|Homo sapiens SH-SY5Y cell line","9606|9606","EBI-10959145","physical association","Q9GZQ8 (EBI-10959145) P09429","false","physical association","pubmed|imex","23303669|IM-24474","false","EBI-10959145","Q9GZQ8 (EBI-10959145) P09429","unspecified role","MI:0499","psi-mi","neutral component","MI:0497","identification by antibody","MI:0421","unspecified role","MI:0499","neutral component","MI:0497","identification by antibody","MI:0421","2015/08/17","autophagosome","GO:0005776"
"23247","figure legend:Supp 3A|dataset:Neurodegeneration - Publications depicting interactions involved in neurodegenerative diseases.|dataset:Huntington's - Publications describing interactions involved in Huntington's disease|dataset:Affinomics - Interactions curated for the Affinomics consortium.|full coverage:Only protein-protein interactions|curation depth:imex curation","Min et al. (2013)","spoke expansion","MI:1060","0.49","2015/07/27","confocal microscopy","MI:0663","human-sh_sy5y|Homo sapiens SH-SY5Y cell line","9606|9606","EBI-11164714","colocalization","P42858 (EBI-11164714) Q9GZQ8","false","colocalization","pubmed|imex","23303669|IM-24474","false","EBI-11164714","P42858 (EBI-11164714) Q9GZQ8","unspecified role","MI:0499","psi-mi","neutral component","MI:0497","tag visualisation by fluorescence","MI:0867","unspecified role","MI:0499","neutral component","MI:0497","tag visualisation by fluorescence","MI:0867","2015/08/17","cytoplasm","GO:0005737"
"23250","figure legend:7A|dataset:Virus - Publications including interactions involving viral proteins|full coverage:Only protein-protein interactions|curation depth:imex curation","Santiago et al. (2014)",,,"0.27","2014/08/12","confocal microscopy","MI:0663","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606|9606","EBI-9687585","colocalization","Q62625 (EBI-9687585) F1BA49","false","colocalization","imex|pubmed","IM-23032|24478431","false","EBI-9687585","Q62625 (EBI-9687585) F1BA49","unspecified role","MI:0499","psi-mi","neutral component","MI:0497","tag visualisation by fluorescence","MI:0867","unspecified role","MI:0499","neutral component","MI:0497","immunostaining","MI:0422","2014/10/16","cytoplasmic vesicle","GO:0031410"
"23253","figure legend:Fig 3A, Table 1|full coverage:Only protein-protein interactions|curation depth:imex curation","Spahr et al. (2003)","spoke expansion","MI:1060","0.35","2007/09/19","tandem affinity purification","MI:0676","schpm|Schizosaccharomyces pombe","4896|4896","EBI-1534130","association","O94684 (EBI-1534130) P36613","false","association","pubmed|imex","14534314|IM-18905","false","EBI-1534130","O94684 (EBI-1534130) P36613","unspecified role","MI:0499","psi-mi","bait","MI:0496","peptide massfingerprinting","MI:0082","unspecified role","MI:0499","prey","MI:0498","peptide massfingerprinting","MI:0082","2014/10/16",,
"23255","figure legend:Fig 3A, Table 1|full coverage:Only protein-protein interactions|curation depth:imex curation","Spahr et al. (2003)","spoke expansion","MI:1060","0.53","2007/09/19","tandem affinity purification","MI:0676","schpm|Schizosaccharomyces pombe","4896|4896","EBI-1534130","association","O94684 (EBI-1534130) Q12126","false","association","pubmed|imex","14534314|IM-18905","false","EBI-1534130","O94684 (EBI-1534130) Q12126","unspecified role","MI:0499","psi-mi","bait","MI:0496","peptide massfingerprinting","MI:0082","unspecified role","MI:0499","prey","MI:0498","peptide massfingerprinting","MI:0082","2014/10/16",,
"23257","figure legend:Fig 3C, Table 1|full coverage:Only protein-protein interactions|curation depth:imex curation","Spahr et al. (2003)","spoke expansion","MI:1060","0.35","2007/09/19","tandem affinity purification","MI:0676","schpm|Schizosaccharomyces pombe","4896|4896","EBI-1534178","association","P87303 (EBI-1534178) O74995","false","association","pubmed|imex","14534314|IM-18905","false","EBI-1534178","P87303 (EBI-1534178) O74995","unspecified role","MI:0499","psi-mi","bait","MI:0496","peptide massfingerprinting","MI:0082","unspecified role","MI:0499","prey","MI:0498","peptide massfingerprinting","MI:0082","2014/10/16",,
"23259","figure legend:Fig 3C, Table 1|full coverage:Only protein-protein interactions|curation depth:imex curation","Spahr et al. (2003)","spoke expansion","MI:1060","0.35","2007/09/19","tandem affinity purification","MI:0676","schpm|Schizosaccharomyces pombe","4896|4896","EBI-1534178","association","P87303 (EBI-1534178) O13768","false","association","pubmed|imex","14534314|IM-18905","false","EBI-1534178","P87303 (EBI-1534178) O13768","unspecified role","MI:0499","psi-mi","bait","MI:0496","peptide massfingerprinting","MI:0082","unspecified role","MI:0499","prey","MI:0498","peptide massfingerprinting","MI:0082","2014/10/16",,
"23261","figure legend:Fig 3B, Table 1|caution:Ef1a and actin were identified as contaminating proteins.|full coverage:Only protein-protein interactions|curation depth:imex curation","Spahr et al. (2003)","spoke expansion","MI:1060","0.35","2007/09/19","tandem affinity purification","MI:0676","schpm|Schizosaccharomyces pombe","4896|4896","EBI-1534148","association","O94684 (EBI-1534148) P26659","false","association","pubmed|imex","14534314|IM-18905","false","EBI-1534148","O94684 (EBI-1534148) P26659","unspecified role","MI:0499","psi-mi","bait","MI:0496","peptide massfingerprinting","MI:0082","unspecified role","MI:0499","prey","MI:0498","peptide massfingerprinting","MI:0082","2014/10/16",,
"23262","figure legend:Fig 3B, Table 1|caution:Ef1a and actin were identified as contaminating proteins.|full coverage:Only protein-protein interactions|curation depth:imex curation","Spahr et al. (2003)","spoke expansion","MI:1060","0.53","2007/09/19","tandem affinity purification","MI:0676","schpm|Schizosaccharomyces pombe","4896|4896","EBI-1534148","association","O94684 (EBI-1534148) Q12126","false","association","pubmed|imex","14534314|IM-18905","false","EBI-1534148","O94684 (EBI-1534148) Q12126","unspecified role","MI:0499","psi-mi","bait","MI:0496","peptide massfingerprinting","MI:0082","unspecified role","MI:0499","prey","MI:0498","peptide massfingerprinting","MI:0082","2014/10/16",,
"23263","figure legend:Fig 3B, Table 1|caution:Ef1a and actin were identified as contaminating proteins.|full coverage:Only protein-protein interactions|curation depth:imex curation","Spahr et al. (2003)","spoke expansion","MI:1060","0.35","2007/09/19","tandem affinity purification","MI:0676","schpm|Schizosaccharomyces pombe","4896|4896","EBI-1534148","association","O94684 (EBI-1534148) P36613","false","association","pubmed|imex","14534314|IM-18905","false","EBI-1534148","O94684 (EBI-1534148) P36613","unspecified role","MI:0499","psi-mi","bait","MI:0496","peptide massfingerprinting","MI:0082","unspecified role","MI:0499","prey","MI:0498","peptide massfingerprinting","MI:0082","2014/10/16",,
"23266","figure legend:Table I and fig 1B|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|curation depth:mimix curation","Vandamme et al. (2011)","spoke expansion","MI:1060","0.35","2011/05/20","tandem affinity purification","MI:0676","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606|9606","EBI-3951861","association","Q9HC52 (EBI-3951861) Q9BYW2","false","association","pubmed","21282530","false","EBI-3951861","Q9HC52 (EBI-3951861) Q9BYW2","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2014/10/16",,
"23269","figure legend:4B|curation depth:mimix curation","Kunz et al. (2006)","spoke expansion","MI:1060","0.35","2011/04/05","anti tag coimmunoprecipitation","MI:0007","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606|9606","EBI-3868008","association","Q9BZI7 (EBI-3868008) Q9UPR3","false","association","pubmed","16601204","false","EBI-3868008","Q9BZI7 (EBI-3868008) Q9UPR3","unspecified role","MI:0499","psi-mi","bait","MI:0496","anti tag western blot","MI:0705","unspecified role","MI:0499","prey","MI:0498","anti tag western blot","MI:0705","2014/10/16",,
"23272","figure legend:7A, supplementary table S3|comment:observed in cycling cells|full coverage:Only protein-protein interactions|curation depth:imex curation","Kurtulmus et al. (2016)","spoke expansion","MI:1060","0.35","2016/05/06","anti tag coimmunoprecipitation","MI:0007","mouse-nih_3t3|Mus musculus Swiss NIH 3t3 embryo fibroblast cells","10090|10090","EBI-11694751","association","Q9P2S5 (EBI-11694751) Q61879","false","association","pubmed|imex","26675238|IM-25299","false","EBI-11694751","Q9P2S5 (EBI-11694751) Q61879","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2016/05/26",,
"23274","figure legend:4A|curation depth:mimix curation","Sasajima et al. (2005)",,,"0.4","2012/02/14","anti tag coimmunoprecipitation","MI:0007","human-u2-os|Human U2-OS osteosarcoma cell line","9606|9606","EBI-5528974","physical association","Q8N140 (EBI-5528974) Q8N140","false","physical association","pubmed","15970276","false","EBI-5528974","Q8N140 (EBI-5528974) Q8N140","unspecified role","MI:0499","psi-mi","prey","MI:0498","anti tag western blot","MI:0705","unspecified role","MI:0499","bait","MI:0496","anti tag western blot","MI:0705","2014/10/16",,
"23275","figure legend:4A|curation depth:mimix curation","Sasajima et al. (2005)",,,"0.4","2012/02/14","anti tag coimmunoprecipitation","MI:0007","human-u2-os|Human U2-OS osteosarcoma cell line","9606|9606","EBI-5528982","physical association","Q8N140 (EBI-5528982) Q8N140","false","physical association","pubmed","15970276","false","EBI-5528982","Q8N140 (EBI-5528982) Q8N140","unspecified role","MI:0499","psi-mi","bait","MI:0496","anti tag western blot","MI:0705","unspecified role","MI:0499","prey","MI:0498","anti tag western blot","MI:0705","2014/10/16",,
"23278","figure legend:6, Table II|curation depth:mimix curation","Zhang et al. (2003)","spoke expansion","MI:1060","0.35","2012/11/16","pull down","MI:0096","in vitro|In vitro","-1|-1","EBI-6392246","association","Q13573 (EBI-6392246) P17858","false","association","pubmed","12840015","false","EBI-6392246","Q13573 (EBI-6392246) P17858","unspecified role","MI:0499","psi-mi","bait","MI:0496","Identification by mass spectrometry","MI:0427","unspecified role","MI:0499","prey","MI:0498","Identification by mass spectrometry","MI:0427","2014/10/16",,
"23281","figure legend:5D|dataset:Virus - Publications including interactions involving viral proteins|full coverage:Only protein-protein interactions|curation depth:imex curation","Horst et al. (2009)","spoke expansion","MI:1060","0.87","2014/03/20","anti bait coimmunoprecipitation","MI:0006","human-t2|Homo sapiens T cell leukemia/B cell line hybridoma HLA-A2-positive, TAP negative","9606|9606","EBI-9347588","physical association","Q03518 (EBI-9347588) Q03519","false","physical association","pubmed|imex","19201886|IM-22337","false","EBI-9347588","Q03518 (EBI-9347588) Q03519","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","ancillary","MI:0684","unspecified role","MI:0499","western blot","MI:0113","2014/10/16","cytoplasm","GO:0005737"
"23282","figure legend:7C|dataset:Virus - Publications including interactions involving viral proteins|full coverage:Only protein-protein interactions|curation depth:imex curation","Horst et al. (2009)","spoke expansion","MI:1060","0.87","2014/03/20","anti bait coimmunoprecipitation","MI:0006","human-akbm|Homo sapiens EBV positive Burkitt's lymphoma B cell line","9606|9606","EBI-9347687","association","Q03519 (EBI-9347687) Q03518","false","association","pubmed|imex","19201886|IM-22337","false","EBI-9347687","Q03519 (EBI-9347687) Q03518","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2014/10/16",,
"23283","figure legend:3A|dataset:Virus - Publications including interactions involving viral proteins|full coverage:Only protein-protein interactions|curation depth:imex curation","Horst et al. (2009)","spoke expansion","MI:1060","0.87","2014/03/20","anti bait coimmunoprecipitation","MI:0006","human-mel_juso|Homo sapiens","9606|9606","EBI-9392565","association","Q03518 (EBI-9392565) Q03519","false","association","pubmed|imex","19201886|IM-22337","false","EBI-9392565","Q03518 (EBI-9392565) Q03519","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2014/10/16","cytoplasm","GO:0005737"
"23284","figure legend:3A|dataset:Virus - Publications including interactions involving viral proteins|full coverage:Only protein-protein interactions|curation depth:imex curation","Horst et al. (2009)","spoke expansion","MI:1060","0.87","2014/03/20","anti bait coimmunoprecipitation","MI:0006","human-mel_juso|Homo sapiens","9606|9606","EBI-9346763","association","Q03518 (EBI-9346763) Q03519","false","association","pubmed|imex","19201886|IM-22337","false","EBI-9346763","Q03518 (EBI-9346763) Q03519","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2014/10/16","cytoplasm","GO:0005737"
"23285","figure legend:3A|dataset:Virus - Publications including interactions involving viral proteins|full coverage:Only protein-protein interactions|curation depth:imex curation","Horst et al. (2009)","spoke expansion","MI:1060","0.87","2014/03/20","anti bait coimmunoprecipitation","MI:0006","human-mel_juso|Homo sapiens","9606|9606","EBI-9346776","association","Q03519 (EBI-9346776) Q03518","false","association","pubmed|imex","19201886|IM-22337","false","EBI-9346776","Q03519 (EBI-9346776) Q03518","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2014/10/16","cytoplasm","GO:0005737"
"23286","figure legend:3A|dataset:Virus - Publications including interactions involving viral proteins|full coverage:Only protein-protein interactions|curation depth:imex curation","Horst et al. (2009)","spoke expansion","MI:1060","0.87","2014/03/20","anti bait coimmunoprecipitation","MI:0006","human-mel_juso|Homo sapiens","9606|9606","EBI-9392571","association","Q03519 (EBI-9392571) Q03518","false","association","pubmed|imex","19201886|IM-22337","false","EBI-9392571","Q03519 (EBI-9392571) Q03518","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2014/10/16","cytoplasm","GO:0005737"
"23289","figure legend:5|full coverage:Only protein-protein interactions|curation depth:imex curation","Hauge et al. (2009)",,,"0.54","2013/04/30","confocal microscopy","MI:0663","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606|9606","EBI-6661861","colocalization","P31750 (EBI-6661861) Q1W6H9","false","colocalization","imex|pubmed","IM-20532|19698782","false","EBI-6661861","P31750 (EBI-6661861) Q1W6H9","unspecified role","MI:0499","psi-mi","neutral component","MI:0497","immunostaining","MI:0422","unspecified role","MI:0499","neutral component","MI:0497","immunostaining","MI:0422","2014/10/16","cell cortex","GO:0005938"
"23290","figure legend:4A|comment:alpha-tubulin was also precipitated|full coverage:Only protein-protein interactions|curation depth:imex curation","Hauge et al. (2009)",,,"0.54","2013/04/30","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606|9606","EBI-6661806","association","P31750 (EBI-6661806) Q1W6H9","false","association","imex|pubmed","IM-20532|19698782","false","EBI-6661806","P31750 (EBI-6661806) Q1W6H9","unspecified role","MI:0499","psi-mi","prey","MI:0498","western blot","MI:0113","unspecified role","MI:0499","bait","MI:0496","western blot","MI:0113","2014/10/16",,
